Date, Value
1998-12-01, 0.2857140004634857
1999-01-01, 0.376116007566452
1999-02-01, 0.37220999598503113
1999-03-01, 0.31082600355148315
1999-04-01, 0.32198700308799744
1999-05-01, 0.41127198934555054
1999-06-01, 0.4017859995365143
1999-07-01, 0.4135040044784546
1999-08-01, 0.4966520071029663
1999-09-01, 0.5982139706611633
1999-10-01, 0.5546879768371582
1999-11-01, 0.7142860293388367
1999-12-01, 0.9017860293388367
2000-01-01, 0.9363840222358704
2000-02-01, 0.9285709857940674
2000-03-01, 1.058593988418579
2000-04-01, 1.2098209857940674
2000-05-01, 1.114954948425293
2000-06-01, 0.7299110293388367
2000-07-01, 0.9308040142059326
2000-08-01, 0.8984379768371582
2000-09-01, 1.0948660373687744
2000-10-01, 0.4765630066394806
2000-11-01, 0.3470979928970337
